ds,y
2015-01-02,315.03
2015-01-03,281.08
2015-01-04,264.20
2015-01-05,274.47
2015-01-06,286.19
2015-01-07,294.34
2015-01-08,283.35
2015-01-09,290.41
2015-01-10,274.80
2015-01-11,265.66
2015-01-12,267.80
2015-01-13,225.86
2015-01-14,178.10
2015-01-15,209.84
2015-01-16,208.10
2015-01-17,199.26
2015-01-18,210.34
2015-01-19,214.86
2015-01-20,211.32
2015-01-21,226.90
2015-01-22,233.41
2015-01-23,232.88
2015-01-24,247.85
2015-01-25,253.72
2015-01-26,273.47
2015-01-27,263.48
2015-01-28,233.91
2015-01-29,233.51
2015-01-30,226.43
2015-01-31,217.46
2015-02-01,226.97
2015-02-02,238.23
2015-02-03,227.27
2015-02-04,226.85
2015-02-05,217.11
2015-02-06,222.27
2015-02-07,227.75
2015-02-08,223.41
2015-02-09,220.11
2015-02-10,219.84
2015-02-11,219.18
2015-02-12,221.76
2015-02-13,235.43
2015-02-14,257.32
2015-02-15,234.82
2015-02-16,233.84
2015-02-17,243.61
2015-02-18,236.33
2015-02-19,240.28
2015-02-20,243.78
2015-02-21,244.53
2015-02-22,235.98
2015-02-23,238.89
2015-02-24,238.74
2015-02-25,237.47
2015-02-26,236.43
2015-02-27,253.83
2015-02-28,254.26
2015-03-01,260.20
2015-03-02,275.67
2015-03-03,281.70
2015-03-04,273.09
2015-03-05,276.18
2015-03-06,272.72
2015-03-07,276.26
2015-03-08,274.35
2015-03-09,289.61
2015-03-10,291.76
2015-03-11,296.38
2015-03-12,294.35
2015-03-13,285.34
2015-03-14,281.89
2015-03-15,286.39
2015-03-16,290.59
2015-03-17,285.51
2015-03-18,256.30
2015-03-19,260.93
2015-03-20,261.75
2015-03-21,260.02
2015-03-22,267.96
2015-03-23,266.74
2015-03-24,245.60
2015-03-25,246.20
2015-03-26,248.53
2015-03-27,247.03
2015-03-28,252.80
2015-03-29,242.71
2015-03-30,247.53
2015-03-31,244.22
2015-04-01,247.27
2015-04-02,253.01
2015-04-03,254.32
2015-04-04,253.70
2015-04-05,260.60
2015-04-06,255.49
2015-04-07,253.18
2015-04-08,245.02
2015-04-09,243.68
2015-04-10,236.07
2015-04-11,236.55
2015-04-12,236.15
2015-04-13,224.59
2015-04-14,219.16
2015-04-15,223.83
2015-04-16,228.57
2015-04-17,222.88
2015-04-18,223.36
2015-04-19,222.60
2015-04-20,224.63
2015-04-21,235.27
2015-04-22,234.18
2015-04-23,236.46
2015-04-24,231.27
2015-04-25,226.39
2015-04-26,219.43
2015-04-27,229.29
2015-04-28,225.85
2015-04-29,225.81
2015-04-30,236.15
2015-05-01,232.08
2015-05-02,234.93
2015-05-03,240.36
2015-05-04,239.02
2015-05-05,236.12
2015-05-06,229.78
2015-05-07,237.33
2015-05-08,243.86
2015-05-09,241.83
2015-05-10,240.30
2015-05-11,242.16
2015-05-12,241.11
2015-05-13,236.38
2015-05-14,236.93
2015-05-15,237.60
2015-05-16,236.15
2015-05-17,236.80
2015-05-18,233.13
2015-05-19,231.95
2015-05-20,234.02
2015-05-21,235.34
2015-05-22,240.35
2015-05-23,238.87
2015-05-24,240.95
2015-05-25,237.11
2015-05-26,237.12
2015-05-27,237.28
2015-05-28,237.41
2015-05-29,237.10
2015-05-30,233.35
2015-05-31,230.19
2015-06-01,222.93
2015-06-02,225.80
2015-06-03,225.87
2015-06-04,224.32
2015-06-05,224.95
2015-06-06,225.62
2015-06-07,222.88
2015-06-08,228.49
2015-06-09,229.05
2015-06-10,228.80
2015-06-11,229.71
2015-06-12,229.98
2015-06-13,232.40
2015-06-14,233.54
2015-06-15,236.82
2015-06-16,250.90
2015-06-17,249.28
2015-06-18,249.01
2015-06-19,244.61
2015-06-20,245.21
2015-06-21,243.94
2015-06-22,246.99
2015-06-23,244.30
2015-06-24,240.51
2015-06-25,242.80
2015-06-26,243.59
2015-06-27,250.99
2015-06-28,249.01
2015-06-29,257.06
2015-06-30,263.07
2015-07-01,258.62
2015-07-02,255.41
2015-07-03,256.34
2015-07-04,260.89
2015-07-05,271.91
2015-07-06,269.03
2015-07-07,266.21
2015-07-08,270.79
2015-07-09,269.23
2015-07-10,284.89
2015-07-11,293.11
2015-07-12,310.87
2015-07-13,292.05
2015-07-14,287.46
2015-07-15,285.83
2015-07-16,278.09
2015-07-17,279.47
2015-07-18,274.90
2015-07-19,273.61
2015-07-20,278.98
2015-07-21,275.83
2015-07-22,277.22
2015-07-23,276.05
2015-07-24,288.28
2015-07-25,288.70
2015-07-26,292.69
2015-07-27,293.62
2015-07-28,294.43
2015-07-29,289.59
2015-07-30,287.72
2015-07-31,284.65
2015-08-01,281.60
2015-08-02,282.61
2015-08-03,281.23
2015-08-04,285.22
2015-08-05,281.88
2015-08-06,278.58
2015-08-07,279.58
2015-08-08,261.00
2015-08-09,265.08
2015-08-10,264.47
2015-08-11,270.39
2015-08-12,266.38
2015-08-13,264.08
2015-08-14,265.68
2015-08-15,261.55
2015-08-16,258.51
2015-08-17,257.98
2015-08-18,211.08
2015-08-19,226.68
2015-08-20,235.35
2015-08-21,232.57
2015-08-22,230.39
2015-08-23,228.17
2015-08-24,210.49
2015-08-25,221.61
2015-08-26,225.83
2015-08-27,224.77
2015-08-28,231.40
2015-08-29,229.78
2015-08-30,228.76
2015-08-31,230.06
2015-09-01,228.12
2015-09-02,229.28
2015-09-03,227.18
2015-09-04,230.30
2015-09-05,235.02
2015-09-06,239.84
2015-09-07,239.85
2015-09-08,243.61
2015-09-09,238.17
2015-09-10,238.48
2015-09-11,240.11
2015-09-12,235.23
2015-09-13,230.51
2015-09-14,230.64
2015-09-15,230.30
2015-09-16,229.09
2015-09-17,229.81
2015-09-18,232.98
2015-09-19,231.49
2015-09-20,231.21
2015-09-21,227.09
2015-09-22,230.62
2015-09-23,230.28
2015-09-24,234.53
2015-09-25,235.14
2015-09-26,234.34
2015-09-27,232.76
2015-09-28,239.14
2015-09-29,236.69
2015-09-30,236.06
2015-10-01,237.55
2015-10-02,237.29
2015-10-03,238.73
2015-10-04,238.26
2015-10-05,240.38
2015-10-06,246.06
2015-10-07,242.97
2015-10-08,242.30
2015-10-09,243.93
2015-10-10,244.94
2015-10-11,247.05
2015-10-12,245.31
2015-10-13,249.51
2015-10-14,251.99
2015-10-15,254.32
2015-10-16,262.87
2015-10-17,270.64
2015-10-18,261.64
2015-10-19,263.44
2015-10-20,269.46
2015-10-21,266.27
2015-10-22,274.02
2015-10-23,276.50
2015-10-24,281.65
2015-10-25,283.68
2015-10-26,285.30
2015-10-27,293.79
2015-10-28,304.62
2015-10-29,313.86
2015-10-30,328.02
2015-10-31,314.17
2015-11-01,325.43
2015-11-02,361.19
2015-11-03,403.42
2015-11-04,411.56
2015-11-05,386.35
2015-11-06,374.47
2015-11-07,386.48
2015-11-08,373.37
2015-11-09,380.26
2015-11-10,336.82
2015-11-11,311.08
2015-11-12,338.15
2015-11-13,336.75
2015-11-14,332.91
2015-11-15,320.17
2015-11-16,330.75
2015-11-17,335.09
2015-11-18,334.59
2015-11-19,326.15
2015-11-20,322.02
2015-11-21,326.93
2015-11-22,324.54
2015-11-23,323.05
2015-11-24,320.05
2015-11-25,328.21
2015-11-26,352.68
2015-11-27,358.04
2015-11-28,357.38
2015-11-29,371.29
2015-11-30,377.32
2015-12-01,362.49
2015-12-02,359.19
2015-12-03,361.05
2015-12-04,363.18
2015-12-05,388.95
2015-12-06,388.78
2015-12-07,395.54
2015-12-08,415.56
2015-12-09,417.56
2015-12-10,415.48
2015-12-11,451.94
2015-12-12,435.00
2015-12-13,433.76
2015-12-14,444.18
2015-12-15,465.32
2015-12-16,454.93
2015-12-17,456.08
2015-12-18,463.62
2015-12-19,462.32
2015-12-20,442.68
2015-12-21,438.64
2015-12-22,436.57
2015-12-23,442.40
2015-12-24,454.98
2015-12-25,455.65
2015-12-26,417.27
2015-12-27,422.82
2015-12-28,422.28
2015-12-29,432.98
2015-12-30,426.62
2015-12-31,430.57
2016-01-01,434.33
2016-01-02,433.44
2016-01-03,430.01
2016-01-04,433.09
2016-01-05,431.96
2016-01-06,429.11
2016-01-07,458.05
2016-01-08,453.23
2016-01-09,447.61
2016-01-10,447.99
2016-01-11,448.43
2016-01-12,435.69
2016-01-13,432.37
2016-01-14,430.31
2016-01-15,364.33
2016-01-16,387.54
2016-01-17,382.30
2016-01-18,387.17
2016-01-19,380.15
2016-01-20,420.23
2016-01-21,410.26
2016-01-22,382.49
2016-01-23,387.49
2016-01-24,402.97
2016-01-25,391.73
2016-01-26,392.15
2016-01-27,394.97
2016-01-28,380.29
2016-01-29,379.47
2016-01-30,378.26
2016-01-31,368.77
2016-02-01,373.06
2016-02-02,374.45
2016-02-03,369.95
2016-02-04,389.59
2016-02-05,386.55
2016-02-06,376.52
2016-02-07,376.62
2016-02-08,373.45
2016-02-09,376.03
2016-02-10,381.65
2016-02-11,379.65
2016-02-12,384.26
2016-02-13,391.86
2016-02-14,407.23
2016-02-15,400.18
2016-02-16,407.49
2016-02-17,416.32
2016-02-18,422.37
2016-02-19,420.79
2016-02-20,437.16
2016-02-21,438.80
2016-02-22,437.75
2016-02-23,420.74
2016-02-24,424.95
2016-02-25,424.54
2016-02-26,432.15
2016-02-27,432.52
2016-02-28,433.50
2016-02-29,437.70
2016-03-01,435.12
2016-03-02,423.99
2016-03-03,421.65
2016-03-04,410.94
2016-03-05,400.57
2016-03-06,407.71
2016-03-07,414.32
2016-03-08,413.97
2016-03-09,414.86
2016-03-10,417.13
2016-03-11,421.69
2016-03-12,411.62
2016-03-13,414.07
2016-03-14,416.44
2016-03-15,416.83
2016-03-16,417.01
2016-03-17,420.62
2016-03-18,409.55
2016-03-19,410.44
2016-03-20,413.76
2016-03-21,413.31
2016-03-22,418.09
2016-03-23,418.04
2016-03-24,416.39
2016-03-25,417.18
2016-03-26,417.95
2016-03-27,426.77
2016-03-28,424.23
2016-03-29,416.52
2016-03-30,414.82
2016-03-31,416.73
2016-04-01,417.96
2016-04-02,420.87
2016-04-03,420.90
2016-04-04,421.44
2016-04-05,424.03
2016-04-06,423.41
2016-04-07,422.74
2016-04-08,420.35
2016-04-09,419.41
2016-04-10,421.56
2016-04-11,422.48
2016-04-12,425.19
2016-04-13,423.73
2016-04-14,424.28
2016-04-15,429.71
2016-04-16,430.57
2016-04-17,427.40
2016-04-18,428.59
2016-04-19,435.51
2016-04-20,441.39
2016-04-21,449.42
2016-04-22,445.74
2016-04-23,450.28
2016-04-24,458.55
2016-04-25,461.43
2016-04-26,466.09
2016-04-27,444.69
2016-04-28,449.01
2016-04-29,455.10
2016-04-30,448.32
2016-05-01,451.88
2016-05-02,444.67
2016-05-03,450.30
2016-05-04,446.72
2016-05-05,447.98
2016-05-06,459.60
2016-05-07,458.54
2016-05-08,458.55
2016-05-09,460.48
2016-05-10,450.89
2016-05-11,452.73
2016-05-12,454.77
2016-05-13,455.67
2016-05-14,455.67
2016-05-15,457.57
2016-05-16,454.16
2016-05-17,453.78
2016-05-18,454.62
2016-05-19,438.71
2016-05-20,442.68
2016-05-21,443.19
2016-05-22,439.32
2016-05-23,444.15
2016-05-24,445.98
2016-05-25,449.60
2016-05-26,453.38
2016-05-27,473.46
2016-05-28,530.04
2016-05-29,526.23
2016-05-30,533.86
2016-05-31,531.39
2016-06-01,536.92
2016-06-02,537.97
2016-06-03,569.19
2016-06-04,572.73
2016-06-05,574.98
2016-06-06,585.54
2016-06-07,576.60
2016-06-08,581.65
2016-06-09,574.63
2016-06-10,577.47
2016-06-11,606.73
2016-06-12,672.78
2016-06-13,704.38
2016-06-14,685.56
2016-06-15,694.47
2016-06-16,766.31
2016-06-17,748.91
2016-06-18,756.23
2016-06-19,763.78
2016-06-20,737.23
2016-06-21,666.65
2016-06-22,596.12
2016-06-23,623.98
2016-06-24,665.30
2016-06-25,665.12
2016-06-26,629.37
2016-06-27,655.28
2016-06-28,647.00
2016-06-29,639.89
2016-06-30,673.34
2016-07-01,676.30
2016-07-02,703.70
2016-07-03,658.66
2016-07-04,683.66
2016-07-05,670.63
2016-07-06,677.33
2016-07-07,640.56
2016-07-08,666.52
2016-07-09,650.96
2016-07-10,649.36
2016-07-11,647.66
2016-07-12,664.55
2016-07-13,654.47
2016-07-14,658.08
2016-07-15,663.26
2016-07-16,660.77
2016-07-17,679.46
2016-07-18,673.11
2016-07-19,672.86
2016-07-20,665.68
2016-07-21,665.01
2016-07-22,650.62
2016-07-23,655.56
2016-07-24,661.28
2016-07-25,654.10
2016-07-26,651.78
2016-07-27,654.35
2016-07-28,655.03
2016-07-29,656.99
2016-07-30,655.05
2016-07-31,624.68
2016-08-01,606.27
2016-08-02,547.47
2016-08-03,566.35
2016-08-04,578.29
2016-08-05,575.04
2016-08-06,587.78
2016-08-07,592.69
2016-08-08,591.05
2016-08-09,587.80
2016-08-10,592.10
2016-08-11,589.12
2016-08-12,587.56
2016-08-13,585.59
2016-08-14,570.47
2016-08-15,567.24
2016-08-16,577.44
2016-08-17,573.22
2016-08-18,574.32
2016-08-19,575.63
2016-08-20,581.70
2016-08-21,581.31
2016-08-22,586.75
2016-08-23,583.41
2016-08-24,580.18
